nl,praesens,aorist,futurum,voice
ouder worden,γερνάω (ώ),γέρασα,θα γεράσω,active
vieren,γιορτάζω,γιόρτασα,θα γιορτάσω,active
grommen,γκρινιάζω,γκρίνιαξα,θα γκρινιάξω,active
kennen,γνωρίζω,γνώρισα,θα γνωρίσω,active
schrijven,γράφω,έγραψα,θα γράψω,active
terugkeren,γυρίζω,γύρισα,θα γυρίσω,active
,δανείζω,δάνεισα,θα δανείσω,active
¹tonen， laten zien ²aanwijzen,δείχνω,έδειξα,θα δείξω,active
,δημιουργώ,δημιούργησα,θα δημιουργήσω,active
lezen,διαβάζω,διάβασα,θα διαβάσω,active
kiezen,διαλέγω,διάλεξα,θα διαλέξω,active
,διασκεδάζω,διασκέδασα,θα διασκεδάσω,active
,διαφημίζω,διαφήμισα,θα διαφημίσω,active
,διαφωνώ,διαφώνησα,θα διαφωνήσω,active
,διδάσκω,δίδαξα,θα διδάξω,active
geven,δίνω,έδωσα,θα δώσω,active
dorst hebben,διψάω (ώ),δίψασα,θα διψάσω,active
,διώχνω,έδιωξα,θα διώξω,active
,δοκιμάζω,δοκίμασα,θα δοκιμάσω,active
werken,δουλεύω,δούλεψα,θα δουλέψω,active
hopen,ελπίζω,ήλπισα,θα ελπίσω,active
,ενοχλώ,ενόχλησα,θα ενοχλήσω,active
onderzoeken,εξετάζω,εξέτασα,θα εξετάσω,active
bereiden,ετοιμάζω,ετοίμασα,θα ετοιμάσω,active
hebben,έχω,είχα,θα έχω,active
benijden (positief en negatief),ζηλεύω,ζήλεψα,θα ζηλέψω,active
vragen,ζητάω (ώ),ζήτησα,θα ζητήσω,active
leven,ζω,έζησα,θα ζήσω,active
,ζωγραφίζω,ζωγράφισα,θα ζωγραφίσω,active
willen,θέλω,ήθελα / θέλησα,θα θέλω / θα θελήσω,active
boos worden,θυμώνω,θύμωσα,θα θυμώσω,active
reinigen,καθαρίζω,καθάρισα,θα καθαρίσω,active
,καίω,έκαψα,θα κάψω,active
,καλυτερεύω,καλυτέρεψα,θα καλυτερέψω,active
bellen,καλώ,κάλεσα,θα καλέσω,active
doen,κάνω,έκανα,θα κάνω,active
roken,καπνίζω,κάπνισα,θα καπνίσω,active
begrijpen,καταλαβαίνω,κατάλαβα,θα καταλάβω,active
¹afstappen， uitstappen ²dalen,κατεβαίνω,κατέβηκα,θα κατεβώ,active
,κατοικώ,κατοίκησα,θα κατοικήσω,active
¹kwetteren ²fluiten,κελαηδάω (ώ),κελάηδησα,θα κελαηδήσω,active
,κερδίζω,κέρδισα,θα κερδίσω,active
trakteren,κερνάω,κέρασα,θα κεράσω,active
,κινδυνεύω,κινδύνεψα,θα κινδυνεύσω,active
huilen,κλαίω,έκλαψα,θα κλάψω,active
,κλειδώνω,κλείδωσα,θα κλειδώσω,active
sluiten,κλείνω,έκλεισα,θα κλείσω,active
vervoegen,κλίνω,έκλινα,θα κλίνω,active
,κόβω,έκοψα,θα κόψω,active
kijken,κοιτάζω/κοιτάω,κοίταξα,θα κοιτάξω,active
,κοκκινίζω,κοκκίνισα,θα κοκκινίσω,active
zwemmen,κολυμπάω,κολύμπησα,θα κολυμπήσω,active
,κουβεντιάζω,κουβέντιασα,θα κουβεντιάσω,active
wiebelen,κουνάω (ώ),κούνησα,θα κουνήσω,active
vasthouden， houden,κρατάω (ώ),κράτησα,θα κρατήσω,active
ophangen,κρεμάω,κρέμασα,θα κρεμάσω,active
,κρίνω,έκρινα,θα κρίνω,active
,κρύβω,έκρυψα,θα κρύψω,active
¹het koud hebben  ²koelen,κρυώνω,κρύωσα,θα κρυώσω,active
,λείπω,έλειψα,θα λείψω,active
,λειτουργώ,λειτούργησα,θα λειτουργήσω,active
,λερώνω,λέρωσα,θα λερώσω,active
zeggen,λέω,είπα,θα πω,active
,λούζω,έλουσα,θα λούσω,active
,λύνω,έλυσα,θα λύσω,active
,μαγειρεύω,μαγείρεψα,θα μαγειρέψω,active
verzamelen,μαζεύω,μάζεψα,θα μαζέψω,active
leren,μαθαίνω,έμαθα,θα μάθω,active
ruzie maken,μαλώνω,μάλωσα,θα μαλώσω,active
,μαυρίζω,μαύρισα,θα μαυρίσω,active
,μεγαλώνω,μεγάλωσα,θα μεγαλώσω,active
,μεθάω,μέθυσα,θα μεθύσω,active
(in)studeren， blokken,μελετάω (ώ),μελέτησα,θα μελετήσω,active
blijven,μένω,έμεινα,θα μείνω,active
praten， spreken,μιλάω (ώ),μίλησα,θα μιλήσω,active
,μισώ,μίσησα,θα μισήσω,active
,μοιάζω,έμοιασα,θα μοιάσω,active
binnenkomen,μπαίνω,μπήκα,θα μπω,active
kunnen,μπορώ,μπόρεσα,θα μπορέσω,active
,νιαουρίζω,νιαούρισα,θα νιαουρίσω,active
,νοιάζει (με),με ένοιαξε,θα με νοιάξει,active
,νοικιάζω,νοίκιασα,θα νοικιάσω,active
,νομίζω,νόμισα,θα νομίσω,active
kleden,ντύνω,έντυσα,θα ντύσω,active
gaan liggen,ξαπλώνω,ξάπλωσα,θα ξαπλώσω,active
weten,ξέρω,ήξερα,θα ξέρω,active
,ξεσκονίζω,ξεσκόνισα,θα ξεσκονίσω,active
vergeten,ξεχνάω (ώ),ξέχασα,θα ξεχάσω,active
,ενημερώνει,ενημέρωσε,θα ενημερώσει,active
wakker worden,ξυπνάω (ώ),ξύπνησα,θα ξυπνήσω,active
¹rijden， besturen， voeren ²gidsen,οδηγώ,οδήγησα,θα οδηγήσω,active
spelen,παίζω,έπαιξα,θα παίξω,active
nemen,παίρνω,πήρα,θα πάρω,active
,παραγγέλνω,παράγγειλα,θα παραγγείλω,active
met aandragen vragen,παρακαλώ,παρακάλεσα,θα παρακαλέσω,active
volgen,παρακολουθώ,παρακολούθησα,θα παρακολουθήσω,active
,παρκάρω,πάρκαρα,θα παρκάρω,active
,πάω,πήγα,θα πάω,active
honger hebben,πεινάω (ώ),πείνασα,θα πεινάσω,active
plagen,πειράζω,πείραξα,θα πειράξω,active
wachten,περιμένω,περίμενα,θα περιμένω,active
passeren,περνάω (ώ),πέρασα,θα περάσω,active
wandelen,περπατάω (ώ),περπάτησα,θα περπατήσω,active
vallen,πέφτω,έπεσα,θα πέσω,active
gaan,πηγαίνω，πάω,πήγα,θα πάω,active
,πηδάω (ώ),πήδησα,θα πηδήσω,active
,πιάνω,έπιασα,θα πιάσω,active
drinken,πίνω,ήπια,θα πιω,active
,πιστεύω,πίστεψα,θα πιστέψω,active
wassen,πλένω,έπλυνα,θα πλύνω,active
betalen,πληρώνω,πλήρωσα,θα πληρώσω,active
pijn hebben,πονάω,πόνεσα,θα πονέσω,active
,ποτίζω,πότισα,θα ποτίσω,active
verkopen,πουλάω (ώ),πούλησα,θα πουλήσω,active
,πρέπει,έπρεπε,θα πρέπει,active
,προσέχω,πρόσεξα,θα προσέξω,active
proberen,προσπαθώ,προσπάθησα,θα προσπαθήσω,active
verkiezen， de voorkeur geven aan,προτιμάω (ώ),προτίμησα,θα προτιμήσω,active
,προχωρώ,προχώρησα,θα προχωρήσω,active
,ρίχνω,έριξα,θα ρίξω,active
vragen,ρωτάω (ώ),ρώτησα,θα ρωτήσω,active
optillen,σηκώνω,σήκωσα,θα σηκώσω,active
,σημαίνει,σήμαινε,θα σημαίνει,active
smeeden,σιδερώνω,σιδέρωσα,θα σιδερώσω,active
,σκορπίζω,σκόρπισα,θα σκορπίσω,active
,σκουπίζω,σκούπισα,θα σκουπίσω,active
,σπάζω/σπάω,έσπασα,θα σπάσω,active
student zijn,σπουδάζω,σπούδασα,θα σπουδάσω,active
,σταματάω (ώ),σταμάτησα,θα σταματήσω,active
versturen,στέλνω,έστειλα,θα στείλω,active
draai,στρίβω,έστριψα,θα στρίψω,active
,στρώνω,έστρωσα,θα στρώσω,active
,συγυρίζω,συγύρισα,θα συγυρίσω,active
vergeven,συγχωρώ,συγχώρεσα,θα συγχωρέσω,active
,συζητάω (ώ),συζήτησα,θα συζητήσω,active
,συμβαίνει,συνέβη(κε),θα συμβεί,active
invullen， aanvullen,συμπληρώνω,συμπλήρωσα,θα συμπληρώσω,active
mee eens zijn， instemmen,συμφωνώ,συμφώνησα,θα συμφωνήσω,active
ontmoeten,συναντάω (ώ),συνάντησα,θα συναντήσω,active
,συνεχίζω,συνέχισα,θα συνεχίσω,active
,σφουγγαρίζω,σφουγγάρισα,θα σφουγγαρίσω,active
reizen,ταξιδεύω,ταξίδεψα,θα ταξιδέψω,active
eindigen,τελειώνω,τελείωσα,θα τελειώσω,active
,τηγανίζω,τηγάνισα,θα τηγανίσω,active
telefoneren,τηλεφωνώ,τηλεφώνησα,θα τηλεφωνήσω,active
,τραγουδάω (ώ),τραγούδησα,θα τραγουδήσω,active
lopen,τρέχω,έτρεξα,θα τρέξω,active
eten,τρώω,έφαγα,θα φάω,active
,τσιμπάω (ώ),τσίμπησα,θα τσιμπήσω,active
bestaan,υπάρχω,υπήρξα,θα υπάρξω,active
,φέγγει,έφεξε,θα φέξει,active
brengen,φέρνω,έφερα,θα φέρω,active
vertrekken,φεύγω,έφυγα,θα φύγω,active
,φιλάω (ώ),φίλησα,θα φιλήσω,active
,φιλοξενώ,φιλοξένησα,θα φιλοξενήσω,active
dragen,φοράω (ώ),φόρεσα,θα φορέσω,active
schuldig zijn,φταίω,έφταιξα,θα φταίξω,active
aankomen， arriveren,φτάνω,έφτασα,θα φτάσω,active
maken， bereiden， scheppen,φτιάχνω,έφτιαξα,θα φτιάξω,active
blazen,φυσάω,φύσηξα,θα φυσήξω,active
het waait,φυσάει,φύσηξε,θα φυσήξει,active
roepen,φωνάζω,φώναξα,θα φωνάξω,active
losmaken,χαλάω (ώ),χάλασα,θα χαλάσω,active
,χαμογελάω (ώ),χαμογέλασα,θα χαμογελάσω,active
verliezen,χάνω,έχασα,θα χάσω,active
het sneeuwt,χιονίζει,χιόνισε,θα χιονίσει,active
dansen,χορεύω,χόρεψα,θα χορέψω,active
gebruiken,χρησιμοποιώ,χρησιμοποίησα,θα χρησιμοποιήσω,active
,χτενίζω,χτένισα,θα χτενίσω,active
,χτυπάω,χτύπησα,θα χτυπήσω,active
,χωρίζω,χώρισα,θα χωρίσω,active
zoeken,ψάχνω,έψαξα,θα ψάξω,active
,ψήνω,έψησα,θα ψήσω,active
,ψηφίζω,ψήφισα,θα ψηφίσω,active
zingen,ψωνίζω,ψώνισα,θα ψωνίσω,active
voelen,αισθάνομαι,αισθάνθηκα,θα αισθανθώ,passive
,απαγορεύεται,απαγορεύτηκε,θα απαγορευτεί,passive
,αρνούμαι,αρνήθηκα,θα αρνηθώ,passive
,βαριέμαι,βαρέθηκα,θα βαρεθώ,passive
,βιάζομαι,βιάστηκα,θα βιαστώ,passive
zich bevinden,βρίσκομαι,βρέθηκα,θα βρεθώ,passive
,γεννιέμαι,γεννήθηκα,θα γεννηθώ,passive
worden,γίνομαι,έγινα,θα γίνω,passive
,γνωρίζομαι,γνωρίστηκα,θα γνωριστώ,passive
,δανείζομαι,δανείστηκα,θα δανειστώ,passive
,δέχομαι,δέχτηκα,θα δεχτώ,passive
zijn,είμαι,ήμουν(α),θα είμαι,passive
,ενδιαφέρομαι,ενδιαφέρθηκα,θα ενδιαφερθώ,passive
,επισκέπτομαι,επισκέφτηκα,θα επισκεφτώ,passive
,εργάζομαι,εργάστηκα,θα εργαστώ,passive
komen,έρχομαι,ήρθα,θα έρθω,passive
zich klaarmaken,ετοιμάζομαι,ετοιμάστηκα,θα ετοιμαστώ,passive
,ευχαριστιέμαι,ευχαριστήθηκα,θα ευχαριστηθώ,passive
warm worden,ζεσταίνομαι,ζεστάθηκα,θα ζεσταθώ,passive
zich herinneren,θυμάμαι,θυμήθηκα,θα θυμηθώ,passive
zitten,κάθομαι,κάθισα,θα καθίσω,passive
slapen,κοιμάμαι,κοιμήθηκα,θα κοιμηθώ,passive
moe worden,κουράζομαι,κουράστηκα,θα κουραστώ,passive
,λούζομαι,λούστηκα,θα λουστώ,passive
spijt hebben， het spijt me,λυπάμαι,λυπήθηκα,θα λυπηθώ,passive
zich schamen,ντρέπομαι,ντράπηκα,θα ντραπώ,passive
(zich) (aan)kleden,ντύνομαι,ντύθηκα,θα ντυθώ,passive
,ξεκουράζομαι,ξεκουράστηκα,θα ξεκουραστώ,passive
,ξεχνιέμαι,ξεχάστηκα,θα ξεχαστώ,passive
,ονομάζομαι,ονομάστηκα,θα ονομαστώ,passive
,παντρεύομαι,παντρεύτηκα,θα παντρευτώ,passive
,παραπονιέμαι,παραπονέθηκα,θα παραπονεθώ,passive
zich wassen,πλένομαι,πλύθηκα,θα πλυθώ,passive
,πωλείται,πουλήθηκε,θα πουληθεί,passive
opstaan,σηκώνομαι,σηκώθηκα,θα σηκωθώ,passive
(na)denken,σκέφτομαι,σκέφτηκα,θα σκεφτώ,passive
,σκουπίζομαι,σκουπίστηκα,θα σκουπιστώ,passive
,στενοχωριέμαι,στενοχωρήθηκα,θα στενοχωρηθώ,passive
,συναντιέμαι,συναντήθηκα,θα συναντηθώ,passive
,υπόσχομαι,υποσχέθηκα,θα υποσχεθώ,passive
,φαίνομαι,φάνηκα,θα φανώ,passive
,φαντάζομαι,φαντάστηκα,θα φανταστώ,passive
bang zijn (voor)， vrezen,φοβάμαι,φοβήθηκα,θα φοβηθώ,passive
genieten,χαίρομαι,χάρηκα,θα χαρώ,passive
,χάνομαι,χάθηκα,θα χαθώ,passive
nodig hebben， behoefte hebben aan,χρειάζομαι,χρειάστηκα,θα χρειαστώ,passive
zich kammen,χτενίζομαι,χτενίστηκα,θα χτενιστώ,passive
